Manufacturer,Name,Speed,Glide,Turn,Fade,Purchase Url
Dynamic-Discs,Guard,2,5,0,0.5,https://infinitediscs.com/Dynamic-Discs-Guard?tag=3c8c6529
Dynamic-Discs,Judge,2,4,0,0.8,https://infinitediscs.com/Dynamic-Discs-Judge?tag=3c8c6529
Dynamic-Discs,Marshal,3,3.6,-0.1,1.2,https://infinitediscs.com/Dynamic-Discs-Marshal?tag=3c8c6529
Dynamic-Discs,Slammer,2.6,2.1,0,3,https://infinitediscs.com/Dynamic-Discs-Slammer?tag=3c8c6529
Dynamic-Discs,Warden,2,3.5,0,0.5,https://infinitediscs.com/Dynamic-Discs-Warden?tag=3c8c6529
Element-Discs,Chromium,9,4.8,-0.8,1.5,https://infinitediscs.com/Element-Discs-Chromium?tag=3c8c6529
Element-Discs,Lithium,4.9,3.9,-1.8,1,https://infinitediscs.com/Element-Discs-Lithium?tag=3c8c6529
Element-Discs,Prototype 3,4,3,0,2,https://infinitediscs.com/Element-Discs-Prototype-3?tag=3c8c6529
Element-Discs,Radium,6,4,-1,1.9,https://infinitediscs.com/Element-Discs-Radium?tag=3c8c6529
Element-Discs,Uranium,4,2,0,2.2,https://infinitediscs.com/Element-Discs-Uranium?tag=3c8c6529
Element-Discs,Iridium,2,2.8,0,1.9,https://infinitediscs.com/Element-Discs-Iridium?tag=3c8c6529
Element-Discs,Plutonium,3,2.9,-0.1,1.1,https://infinitediscs.com/Element-Discs-Plutonium?tag=3c8c6529
Fourth-Circle-Discs,Taipan,13,5,0,3.1,https://infinitediscs.com/Fourth-Circle-Discs-Taipan?tag=3c8c6529
